element_id,centroid_x_mm,centroid_y_mm,centroid_z_mm,sample_voxels,bvtv,youngs_modulus_mpa,poissons_ratio,threshold
156,-60.4035395,-15.8225739,-22.4975586,82,1,8534.64,0.246,-441.003906
157,-12.9769664,-15.8225739,-22.4975586,82,1,8534.64,0.246,-441.003906
158,34.4496066,-15.8225739,-22.4975586,77,1,8534.64,0.246,-441.003906
159,81.8761796,-15.8225739,-22.4975586,77,1,8534.64,0.246,-441.003906
160,129.302752,-15.8225739,-22.4975586,82,0.109756098,232.854115,0.246,-441.003906
161,-202.683259,17.13382,-22.4975586,82,0,0,0.246,-441.003906
162,-155.256686,17.13382,-22.4975586,77,0.363636364,1640.86524,0.246,-441.003906
163,-107.830113,17.13382,-22.4975586,77,0.532467532,3055.22368,0.246,-441.003906
164,-60.4035395,17.13382,-22.4975586,82,1,8534.64,0.246,-441.003906
165,-12.9769664,17.13382,-22.4975586,82,1,8534.64,0.246,-441.003906
166,34.4496066,17.13382,-22.4975586,77,1,8534.64,0.246,-441.003906
167,81.8761796,17.13382,-22.4975586,77,0.935064935,7649.92705,0.246,-441.003906
168,129.302752,17.13382,-22.4975586,82,0,0,0.246,-441.003906
169,-202.683259,50.0902138,-22.4975586,83,0,0,0.246,-441.003906
170,-155.256686,50.0902138,-22.4975586,78,0,0,0.246,-441.003906
171,-107.830113,50.0902138,-22.4975586,78,0.987179487,8357.00932,0.246,-441.003906
172,-60.4035395,50.0902138,-22.4975586,83,1,8534.64,0.246,-441.003906
173,-12.9769664,50.0902138,-22.4975586,83,1,8534.64,0.246,-441.003906
174,34.4496066,50.0902138,-22.4975586,78,1,8534.64,0.246,-441.003906
175,81.8761796,50.0902138,-22.4975586,78,0,0,0.246,-441.003906
176,129.302752,50.0902138,-22.4975586,83,0,0,0.246,-441.003906
177,-202.683259,83.0466077,-22.4975586,81,0,0,0.246,-441.003906
178,-155.256686,83.0466077,-22.4975586,81,0,0,0.246,-441.003906
179,-107.830113,83.0466077,-22.4975586,81,0,0,0.246,-441.003906
180,-60.4035395,83.0466077,-22.4975586,81,0,0,0.246,-441.003906
181,-12.9769664,83.0466077,-22.4975586,81,0,0,0.246,-441.003906
182,34.4496066,83.0466077,-22.4975586,81,0.975308642,8193.8269,0.246,-441.003906
183,81.8761796,83.0466077,-22.4975586,81,0,0,0.246,-441.003906
184,129.302752,83.0466077,-22.4975586,81,0,0,0.246,-441.003906
