element_id,centroid_x_mm,centroid_y_mm,centroid_z_mm,sample_voxels,bvtv,youngs_modulus_mpa,poissons_ratio,threshold
221,-12.9769664,-15.8225739,41.0034179,82,0.609756098,3810.56816,0.246,300
222,34.4496066,-15.8225739,41.0034179,77,0,0,0.246,300
223,81.8761796,-15.8225739,41.0034179,77,0,0,0.246,300
224,129.302752,-15.8225739,41.0034179,82,0,0,0.246,300
225,-202.683259,17.13382,41.0034179,82,0,0,0.246,300
226,-155.256686,17.13382,41.0034179,77,0,0,0.246,300
227,-107.830113,17.13382,41.0034179,77,0,0,0.246,300
228,-60.4035395,17.13382,41.0034179,82,0,0,0.246,300
229,-12.9769664,17.13382,41.0034179,82,0.829268293,6290.10877,0.246,300
230,34.4496066,17.13382,41.0034179,77,0,0,0.246,300
231,81.8761796,17.13382,41.0034179,77,0,0,0.246,300
232,129.302752,17.13382,41.0034179,82,0,0,0.246,300
233,-202.683259,50.0902138,41.0034179,83,0,0,0.246,300
234,-155.256686,50.0902138,41.0034179,78,0,0,0.246,300
235,-107.830113,50.0902138,41.0034179,78,0,0,0.246,300
236,-60.4035395,50.0902138,41.0034179,83,0,0,0.246,300
237,-12.9769664,50.0902138,41.0034179,83,0,0,0.246,300
238,34.4496066,50.0902138,41.0034179,78,0,0,0.246,300
239,81.8761796,50.0902138,41.0034179,78,0,0,0.246,300
240,129.302752,50.0902138,41.0034179,83,0,0,0.246,300
241,-202.683259,83.0466077,41.0034179,81,0,0,0.246,300
242,-155.256686,83.0466077,41.0034179,81,0,0,0.246,300
243,-107.830113,83.0466077,41.0034179,81,0,0,0.246,300
244,-60.4035395,83.0466077,41.0034179,81,0,0,0.246,300
245,-12.9769664,83.0466077,41.0034179,81,0,0,0.246,300
246,34.4496066,83.0466077,41.0034179,81,0,0,0.246,300
247,81.8761796,83.0466077,41.0034179,81,0,0,0.246,300
248,129.302752,83.0466077,41.0034179,81,0,0,0.246,300
249,-202.683259,116.003001,41.0034179,80,0,0,0.246,300
250,-155.256686,116.003001,41.0034179,81,0,0,0.246,300
251,-107.830113,116.003001,41.0034179,81,0,0,0.246,300
252,-60.4035395,116.003001,41.0034179,80,0,0,0.246,300
253,-12.9769664,116.003001,41.0034179,80,0,0,0.246,300
254,34.4496066,116.003001,41.0034179,81,0,0,0.246,300
255,81.8761796,116.003001,41.0034179,81,0,0,0.246,300
256,129.302752,116.003001,41.0034179,80,0,0,0.246,300
257,-202.683259,-114.691755,104.504395,80,0,0,0.246,300
258,-155.256686,-114.691755,104.504395,81,0,0,0.246,300
259,-107.830113,-114.691755,104.504395,81,0.222222222,735.273323,0.246,300
260,-60.4035395,-114.691755,104.504395,80,0,0,0.246,300
261,-12.9769664,-114.691755,104.504395,80,0.1375,336.216176,0.246,300
262,34.4496066,-114.691755,104.504395,81,0,0,0.246,300
263,81.8761796,-114.691755,104.504395,81,0.024691358,20.4660259,0.246,300
264,129.302752,-114.691755,104.504395,80,0,0,0.246,300
265,-202.683259,-81.7353616,104.504395,81,0,0,0.246,300
266,-155.256686,-81.7353616,104.504395,81,0.172839506,488.138794,0.246,300
267,-107.830113,-81.7353616,104.504395,81,0.283950617,1096.40498,0.246,300
